date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-16 11:40:00,313.2017,312.0841,314.3194
2020-01-16 11:41:00,313.1836,312.0971,314.2701
2020-01-16 11:42:00,313.1647,312.12,314.2094
2020-01-16 11:43:00,313.148,312.1359,314.1601
2020-01-16 11:44:00,313.139,312.1433,314.1348
2020-01-16 11:45:00,313.1269,312.1588,314.0951
2020-01-16 11:46:00,313.1178,312.1715,314.0641
2020-01-16 11:47:00,313.1082,312.1852,314.0312
2020-01-16 11:48:00,313.0994,312.2012,313.9977
2020-01-16 11:49:00,313.0863,312.2313,313.9413
2020-01-16 11:50:00,313.0725,312.2604,313.8846
2020-01-16 11:51:00,313.0603,312.2768,313.8439
2020-01-16 11:52:00,313.0492,312.2947,313.8037
2020-01-16 11:53:00,313.0393,312.3148,313.7638
2020-01-16 11:54:00,313.0348,312.3234,313.7463
2020-01-16 11:55:00,313.0331,312.3252,313.741
2020-01-16 11:56:00,313.0332,312.325,313.7415
2020-01-16 11:57:00,313.0362,312.3248,313.7476
2020-01-16 11:58:00,313.0422,312.324,313.7603
2020-01-16 11:59:00,313.051,312.3319,313.77
2020-01-16 12:00:00,313.0595,312.3404,313.7785
2020-01-16 12:01:00,313.0652,312.3414,313.7891
2020-01-16 12:02:00,313.0739,312.3487,313.7992
2020-01-16 12:03:00,313.0794,312.3497,313.8092
2020-01-16 12:04:00,313.0836,312.3504,313.8169
2020-01-16 12:05:00,313.0838,312.3503,313.8173
2020-01-16 12:06:00,313.0823,312.3516,313.813
2020-01-16 12:07:00,313.076,312.3597,313.7923
2020-01-16 12:08:00,313.0704,312.3647,313.7761
2020-01-16 12:09:00,313.0651,312.3662,313.7641
2020-01-16 12:10:00,313.0607,312.3655,313.7559
2020-01-16 12:11:00,313.0557,312.3599,313.7515
2020-01-16 12:12:00,313.0562,312.3607,313.7517
2020-01-16 12:13:00,313.06,312.3688,313.7513
2020-01-16 12:14:00,313.062,312.3744,313.7497
2020-01-16 12:15:00,313.0707,312.4018,313.7396
2020-01-16 12:16:00,313.0761,312.4267,313.7254
2020-01-16 12:17:00,313.0823,312.4552,313.7094
2020-01-16 12:18:00,313.087,312.4729,313.701
